City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Kapaa,US,83.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Pacific Grove,US,73.54,clear sky,36.6177,-121.9166,Lovers Point Inn
11,Katsuura,JP,81.45,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
13,Ponta Delgada,PT,79.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
14,Ocos,GT,77.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
24,Naze,JP,79.93,broken clouds,28.3667,129.4833,Shishime Hotel
27,Yatou,CN,78.31,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
28,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
33,Atuona,PF,76.59,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
34,Lagoa,PT,74.46,light rain,39.05,-27.9833,Casa Das Faias
36,Qeshm,IR,85.87,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
38,Tamboril,DO,75.88,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
41,Gerash,IR,80.19,clear sky,27.6652,54.1371,Sa'adat House Gerash
42,Kasongo,CD,71.78,overcast clouds,-4.45,26.6667,Guest Hôtel
51,Becerril,CO,76.24,overcast clouds,9.7041,-73.2793,Barrio El Carmen
53,Tecoanapa,MX,79.23,overcast clouds,16.5167,-98.75,Hotel Manglares
55,Guerrero Negro,MX,77.34,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
57,Carnarvon,AU,70.57,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
58,Coahuayana,MX,78.44,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
64,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Van Buren,US,77.32,clear sky,35.4368,-94.3483,Hampton Inn Van Buren
72,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
76,Rikitea,PF,72.55,clear sky,-23.1203,-134.9692,People ThankYou
82,Gizo,SB,83.75,light rain,-8.103,156.8419,Imagination Island
83,Vila Franca Do Campo,PT,79.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
85,Asyut,EG,76.62,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
95,Wukari,NG,72.07,broken clouds,7.85,9.7833,Elimtop
96,Saint Anthony,US,76.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
99,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
100,Noumea,NC,76.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
102,Virginia Beach,US,75.24,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
105,Hithadhoo,MV,82.15,broken clouds,-0.6,73.0833,Scoop Guest House
108,Dingle,PH,86.14,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
110,Buchanan,LR,74.97,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
111,Hamada,JP,79.34,broken clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
116,Namatanai,PG,84.24,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
118,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
120,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
122,Ratnagiri,IN,78.57,overcast clouds,16.9833,73.3,Hotel Landmark
126,Kabansk,RU,77.02,few clouds,52.0486,106.6528,Kaylas
128,Isangel,VU,80.76,clear sky,-19.55,169.2667,Tanna Lodge
129,San Patricio,US,82.26,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
134,Ulagan,RU,70.05,overcast clouds,50.6321,87.9563,Gostevoy Dom
135,Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Esna,EG,80.46,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
140,Boa Vista,BR,76.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
142,Matara,LK,81.19,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
143,Palaikastron,GR,73.35,clear sky,35.2,26.25,Marina Village
144,Samana,DO,77.52,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
145,Ahuimanu,US,85.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
149,Marawi,PH,81.43,overcast clouds,7.9986,124.2928,Derogongan Residence
150,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
152,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
153,Mitsamiouli,KM,74.62,clear sky,-11.3847,43.2844,Foyer ADM
155,Marshall,US,73.94,clear sky,34.3834,-86.3333,Riverview Campground
158,Kavaratti,IN,79.2,overcast clouds,10.5669,72.642,Green leaf
159,Elizabeth City,US,75.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
162,Nieuw Nickerie,SR,80.35,scattered clouds,5.95,-56.9833,Ishwardat Inn
167,Luquillo,PR,80.53,clear sky,18.3725,-65.7166,Yunque Mar Beach Hotel
169,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
173,Ribeira Grande,PT,75.33,light rain,38.5167,-28.7,Quinta da Meia Eira
174,Murgab,TM,79.47,clear sky,37.4966,61.9714,Wepa Nurlyýew
175,Jalu,LY,70.23,clear sky,29.0331,21.5482,صاحبة الفخامة
176,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
177,Dali,CN,71.42,few clouds,25.7,100.1833,Dali Travelling With Hostel
178,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
179,Sola,VU,81.05,clear sky,-13.8833,167.55,Leumerus Bungalows
182,Freeport,US,71.26,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
183,Faanui,PF,78.13,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Canto Do Buriti,BR,76.37,few clouds,-8.11,-42.9444,Novo Hotel
189,Bhimunipatnam,IN,80.11,overcast clouds,17.8833,83.4333,Bheemili Court
196,Manokwari,ID,83.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
205,Meulaboh,ID,81.84,overcast clouds,4.1363,96.1285,Kost Pria
206,Paragould,US,75.02,scattered clouds,36.0584,-90.4973,Linwood Motel
209,Fomboni,KM,75.6,clear sky,-12.28,43.7425,Auberge les abou
210,Bowen,AU,73.29,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
215,Alto Araguaia,BR,73.69,few clouds,-17.3147,-53.2153,Araguaia Palace Hotel
217,Gamboma,CG,74.34,overcast clouds,-1.8764,15.8644,Residence N'Keni
221,Bengkulu,ID,81.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
224,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
226,Tateyama,JP,82.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
235,Tumen,CN,78.01,clear sky,42.9661,129.8425,Friendship Hotel
238,Panaba,MX,77.32,broken clouds,21.2833,-88.2667,Hotel Don Fernando
239,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
242,Mana,GF,77.63,clear sky,5.6592,-53.7767,LE SAMANA
244,Arrecife,ES,71.58,clear sky,28.963,-13.5477,Hotel Lancelot
248,North Myrtle Beach,US,75.22,scattered clouds,33.816,-78.68,Avista Resort
250,Honiara,SB,87.22,scattered clouds,-9.4333,159.95,Heritage Park Hotel
251,Tura,IN,84.22,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
258,Urucui,BR,77.22,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
260,Kumphawapi,TH,82.29,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
261,Marsa Matruh,EG,75.31,clear sky,31.3525,27.2453,Beau Site
262,Itupiranga,BR,80.92,few clouds,-5.1347,-49.3267,Hotel Panorama
