City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Thompson,CA,55.7435,-97.8558,62.2,42,97,2.82,overcast clouds,2022-09-08 03:08:56
1,Chokurdakh,RU,70.6333,147.9167,57.6,39,100,13.27,overcast clouds,2022-09-08 03:08:56
2,Ancud,CL,-41.8697,-73.8203,41.23,91,99,2.13,light rain,2022-09-08 03:08:57
3,Toora-Khem,RU,52.4675,96.11,72.21,31,68,3.27,broken clouds,2022-09-08 03:08:57
4,Ushuaia,AR,-54.8,-68.3,35.26,80,20,1.14,few clouds,2022-09-08 03:07:44
5,Kapaa,US,22.0752,-159.319,83.48,70,20,12.66,few clouds,2022-09-08 03:08:57
6,Cape Town,ZA,-33.9258,18.4232,55.9,86,0,15.99,clear sky,2022-09-08 03:06:22
7,Cherskiy,RU,68.75,161.3,60.75,33,100,21.77,overcast clouds,2022-09-08 03:08:58
8,Mataura,NZ,-46.1927,168.8643,50.49,60,38,0.38,scattered clouds,2022-09-08 03:08:58
9,Salekhard,RU,66.53,66.6019,36.25,80,97,5.55,overcast clouds,2022-09-08 03:08:58
10,Pacific Grove,US,36.6177,-121.9166,73.54,82,0,8.99,clear sky,2022-09-08 03:07:00
11,Katsuura,JP,35.1333,140.3,81.45,79,100,20.42,overcast clouds,2022-09-08 03:08:58
12,Half Moon Bay,US,37.4636,-122.4286,88.03,79,0,12.66,mist,2022-09-08 03:08:59
13,Ponta Delgada,PT,37.7333,-25.6667,79.5,94,40,11.5,scattered clouds,2022-09-08 03:08:59
14,Ocos,GT,14.5094,-92.1933,77.18,77,100,6.24,overcast clouds,2022-09-08 03:08:59
15,Barrow,US,71.2906,-156.7887,39.22,93,75,9.22,broken clouds,2022-09-08 03:08:59
16,Katunino,RU,64.3862,40.6298,37.29,97,85,3.96,overcast clouds,2022-09-08 03:09:00
17,Klaksvik,FO,62.2266,-6.589,56.32,99,100,17.29,light rain,2022-09-08 03:09:00
18,Victoria,HK,22.2855,114.1577,92.97,69,20,3.0,few clouds,2022-09-08 03:09:00
19,Chuy,UY,-33.6971,-53.4616,57.78,94,33,4.07,scattered clouds,2022-09-08 03:09:00
20,Bluff,NZ,-46.6,168.3333,50.81,58,50,2.82,scattered clouds,2022-09-08 03:09:01
